key	description	normative	nominative	genitive	nonreflexive_verb_past	dative	accusative	instrumental	prepositional	instrumental_with_preposition	genitive_with_preposition	reflexive_verb_past	adjective	possessive	definitive	plural	pluralHonorific	pronounceable	history	thirdForm	smallForm	sourcesInfo
ква,ква/кша,ква/кша/[-лва]	Неозайменник з тематикою жаб	FALSE	ква	кша	лва	квібіт	кша	квіб	ріббіт	ріб	кша	всав	ібіт	міб	самва	FALSE	FALSE	TRUE	Займенник ква/кша  був зроблен користувачею jellyreap0p з ru.pronouns.page та перекладені і адаптовані українською командою ua.pronouns.page.
вамп,вамп/вампа,вамп/вампа/[-в]	Неозайменник з вампірською тематикою	FALSE	вамп	вампа	в	вампу	вампа	вампом	вампу	вампом	вампа	вся	ий	мій	сам	FALSE	FALSE	TRUE
ві,ві/вір,ві/вір/[-ли]	Неозайменник	FALSE	ві	вір	ли	вір	вір	вір	вір	вір	віра	лися	і	мої	самві	FALSE	FALSE	TRUE	Займенник ві/вір був перекладен користувачем ashtwittsstuff під час роботи над проєктом ua.pronouns.page.
ласті,ласті/ластів,ласті/ластів/[-в'я]	Неозайменник з пташиною тематикою	FALSE	ласті	ластів	в'я	ластів	ластів	ластіву	ластів'ю	ластів'ю	ластів	лас	ів'я	мої	самі	FALSE	FALSE	TRUE	Займенник ласті/ластів був винайден користувачем littlesoaplover під час роботи над проєктом ua.pronouns.page.
сол,сол/солов,сол/солов/[-вій]	Неозайменник з пташиною тематикою	FALSE	сол	солов	вій	солові	солов	солов	солов	соловію	солов	лов	ій	мій	самій	FALSE	FALSE	TRUE	Займенник сол/солов був винайден користувачем littlesoaplover під час роботи над проєктом ua.pronouns.page.
мавка,мавка/мав,мавка/мав/[-ва]	Неозайменник з міфологічною тематикою	FALSE	мавка	мав	ва	мав	мав	мав	мав	мавкою	мавці	вася	а	моя	сама	FALSE	FALSE	TRUE	Займенник мавка/мав був винайден користувачем kory_warning під час роботи над проєктом ua.pronouns.page.
в̨0но́,́в0̢но/й0го͜,̸ в͜0̶н̶о/͘й͜о̷г̡о̸/[́-л̸о]̵	Неозайменник з глітчкор тематикою	FALSE	в͜0͜н̧о͞	й̡0̕го̸	ло	й͠о͏м͢у҉	йо̢го	н̸и̧м͘	н̶ьому͡	н̸и̧м͘	нь̨ог̡о	л̀о̶ся	 ́е̵	м͞о̴є	с҉ам́о	FALSE	FALSE	TRUE	Займенник в0̢но/й0го͜ був винайден користувачем littlesoaplover під час роботи над проєктом ua.pronouns.page.
ві́н,він̵/й͠ого, в̡1н/й̢ого/[-͟в͡]͏	Неозайменник з глітчкор тематикою	FALSE	в̷1̡н	йо̡г͞о͡	ов̡&в 	й̸ом͏у̕	йо̢го	н̸и̧м͘	н̶ьому͡	н̸и̧м͘	нь̨ог̡о	 ͝вся̧ 	ий̨	м͏і̸й̴ 	с͞а͠м͡	FALSE	FALSE	TRUE	Займенник він̵/й͠ого був винайден користувачем littlesoaplover під час роботи над проєктом ua.pronouns.page.
вона̨,в̕она̸/її̵,͝вон͡а/її/[-̨л4͝]	Неозайменник з глітчкор тематикою	FALSE	в͢о͜на̡	ї̡ї͠ 	л4͝	їй҉	 її	н͟ею	 ̡н͡ій͏	не͘ю͠	неї͜	 л͜а̨ся̷	 ̶а 	м̢оя ̷	с̀а̴м́а͟	FALSE	FALSE	TRUE	Займенник в̕она̸/її̵ був винайден користувачем littlesoaplover під час роботи над проєктом ua.pronouns.page.
в͡0н̀и,в0͠н͞и̶/́ї̛х,в̵0н͡и͠/̷ї̧х/[̛-̨ли]̴	Неозайменник з глітчкор тематикою	FALSE	в0͠н͞и̶	ї̛х	л͝и	ї̕м	ї̕X	 ̵ним̢и ͢	 ̵ниХ ͢	 ̵ним̢и ͢	 ̵них 	 л͘и̸ся̴ 	і̷	м̨о̨ї 	 ͢самі	FALSE	FALSE	TRUE	Займенник в0͠н͞и̶/́ї̛х був винайден користувачем littlesoaplover під час роботи над проєктом ua.pronouns.page.
